 axis     ma
 632.85   0.227142490510E-01
 633.21   0.227354130350E-01
 633.57   0.227566086715E-01
 633.93   0.227778360249E-01
 634.29   0.227990951598E-01
 634.65   0.228203861410E-01
 635.01   0.228417090334E-01
 635.37   0.228630639022E-01
 635.73   0.228844508126E-01
 636.09   0.229058698299E-01
 636.45   0.229273210200E-01
 636.81   0.229488044484E-01
 637.17   0.229703201811E-01
 637.53   0.229918682843E-01
 637.89   0.230134488242E-01
 638.25   0.230350618672E-01
 638.61   0.230567074801E-01
 638.97   0.230783857296E-01
 639.33   0.231000966826E-01
 639.69   0.231218404063E-01
 640.05   0.231436169680E-01
 640.41   0.231654264352E-01
 640.77   0.231872688755E-01
 641.13   0.232091443568E-01
 641.49   0.232310529471E-01
 641.85   0.232529947145E-01
 642.21   0.232749697275E-01
 642.57   0.232969780546E-01
 642.93   0.233190197645E-01
 643.29   0.233410949261E-01
 643.65   0.233632036084E-01
 644.01   0.233853458807E-01
 644.37   0.234075218125E-01
 644.73   0.234297314733E-01
 645.09   0.234519749330E-01
 645.45   0.234742522616E-01
 645.81   0.234965635291E-01
 646.17   0.235189088060E-01
 646.53   0.235412881627E-01
 646.89   0.235637016700E-01
 647.25   0.235861493987E-01
 647.61   0.236086314200E-01
 647.97   0.236311478051E-01
 648.33   0.236536986254E-01
 648.69   0.236762839527E-01
 649.05   0.236989038586E-01
 649.41   0.237215584153E-01
 649.77   0.237442476948E-01
 650.14   0.237669717697E-01
 650.50   0.237897307125E-01
 650.86   0.238125245960E-01
 651.22   0.238353534930E-01
 651.58   0.238582174769E-01
 651.94   0.238811166208E-01
 652.30   0.239040509985E-01
 652.66   0.239270206835E-01
 653.02   0.239500257498E-01
 653.38   0.239730662715E-01
 653.74   0.239961423230E-01
 654.10   0.240192539788E-01
 654.46   0.240424013135E-01
 654.82   0.240655844020E-01
 655.18   0.240888033195E-01
 655.54   0.241120581413E-01
 655.90   0.241353489429E-01
 656.26   0.241586757999E-01
 656.62   0.241820387883E-01
 656.98   0.242054379841E-01
 657.34   0.242288734637E-01
 657.70   0.242523453035E-01
