axis	ma      
655.54	2.41E-02
655.9	2.41E-02
656.26	2.42E-02
656.62	2.42E-02
656.98	2.42E-02
657.34	2.42E-02
657.7	2.43E-02
658.06	2.43E-02
658.42	2.43E-02
658.78	2.43E-02
659.14	2.43E-02
659.5	2.44E-02
659.86	2.44E-02
660.22	2.44E-02
660.58	2.44E-02
660.94	2.45E-02
661.3	2.45E-02
661.66	2.45E-02
662.02	2.45E-02
662.38	2.46E-02
662.74	2.46E-02
663.1	2.46E-02
663.46	2.46E-02
663.82	2.47E-02
664.18	2.47E-02
664.54	2.47E-02
664.9	2.47E-02
665.26	2.48E-02
665.62	2.48E-02
665.98	2.48E-02
666.34	2.48E-02
666.7	2.49E-02
667.06	2.49E-02
667.42	2.49E-02
667.78	2.49E-02
668.14	2.49E-02
668.5	2.50E-02
668.86	2.50E-02
669.22	2.50E-02
669.58	2.50E-02
669.94	2.51E-02
670.3	2.51E-02
670.66	2.51E-02
671.02	2.51E-02
671.38	2.52E-02
671.74	2.52E-02
672.1	2.52E-02
672.46	2.52E-02
672.82	2.53E-02
673.18	2.53E-02
673.54	2.53E-02
673.9	2.53E-02
674.26	2.54E-02
674.62	2.54E-02
674.98	2.54E-02
675.34	2.54E-02
675.7	2.55E-02
676.06	2.55E-02
676.42	2.55E-02
676.78	2.56E-02
677.14	2.56E-02
677.5	2.56E-02
677.86	2.56E-02
678.22	2.57E-02
678.58	2.57E-02
678.94	2.57E-02
679.3	2.57E-02
679.66	2.58E-02
680.02	2.58E-02
680.38	2.58E-02
680.74	2.58E-02
681.1	2.59E-02
681.46	2.59E-02
681.82	2.59E-02
682.18	2.59E-02
682.54	2.60E-02
682.9	2.60E-02
683.26	2.60E-02
683.62	2.60E-02
683.98	2.61E-02
684.34	2.61E-02
684.7	2.61E-02
685.06	2.61E-02
685.42	2.62E-02
685.78	2.62E-02
686.14	2.62E-02
686.5	2.63E-02
686.86	2.63E-02
687.22	2.63E-02
687.58	2.63E-02
687.94	2.64E-02
688.3	2.64E-02
688.66	2.64E-02
689.02	2.64E-02
689.38	2.65E-02
689.74	2.65E-02
690.1	2.65E-02
690.46	2.66E-02
690.82	2.66E-02
691.18	2.66E-02
691.54	2.66E-02
691.9	2.67E-02
692.26	2.67E-02
692.62	2.67E-02
692.98	2.67E-02
693.34	2.68E-02
693.7	2.68E-02
694.06	2.68E-02
694.42	2.69E-02
694.78	2.69E-02
695.14	2.69E-02
695.5	2.69E-02
695.86	2.70E-02
696.22	2.70E-02
696.58	2.70E-02
696.94	2.70E-02
697.3	2.71E-02
697.66	2.71E-02
698.02	2.71E-02
698.38	2.72E-02
698.74	2.72E-02
699.1	2.72E-02
699.46	2.72E-02
699.82	2.73E-02
700.18	2.73E-02
700.54	2.73E-02
700.9	2.74E-02
701.26	2.74E-02
701.62	2.74E-02
701.98	2.74E-02
702.34	2.75E-02
702.7	2.75E-02
703.06	2.75E-02
703.42	2.76E-02
703.78	2.76E-02
704.14	2.76E-02
704.5	2.76E-02
704.86	2.77E-02
705.22	2.77E-02
705.58	2.77E-02
705.94	2.78E-02
706.3	2.78E-02
706.66	2.78E-02
707.02	2.78E-02
707.38	2.79E-02
707.74	2.79E-02
708.1	2.79E-02
708.46	2.80E-02
708.82	2.80E-02
709.18	2.80E-02
709.54	2.81E-02
709.9	2.81E-02
710.26	2.81E-02
710.62	2.81E-02
710.98	2.82E-02
711.34	2.82E-02
711.7	2.82E-02
712.06	2.83E-02
712.42	2.83E-02
712.78	2.83E-02
713.14	2.84E-02
713.5	2.84E-02
713.86	2.84E-02
714.22	2.84E-02
714.58	2.85E-02
714.94	2.85E-02
715.3	2.85E-02
715.66	2.86E-02
716.02	2.86E-02
716.38	2.86E-02
716.74	2.87E-02
717.1	2.87E-02
717.46	2.87E-02
717.82	2.88E-02
718.18	2.88E-02
718.54	2.88E-02
718.9	2.88E-02
719.26	2.89E-02
719.62	2.89E-02
719.98	2.89E-02
720.34	2.90E-02
720.7	2.90E-02
721.06	2.90E-02
721.42	2.91E-02
721.78	2.91E-02
722.14	2.91E-02
722.5	2.92E-02
722.86	2.92E-02
723.22	2.92E-02
723.58	2.93E-02
723.94	2.93E-02
724.3	2.93E-02
724.66	2.93E-02
725.02	2.94E-02
725.38	2.94E-02
725.74	2.94E-02
726.1	2.95E-02
726.46	2.95E-02
726.82	2.95E-02
727.18	2.96E-02
727.54	2.96E-02
727.9	2.96E-02
728.26	2.97E-02
728.62	2.97E-02
728.98	2.97E-02
729.34	2.98E-02
729.7	2.98E-02
730.06	2.98E-02
730.42	2.99E-02
730.78	2.99E-02
731.14	2.99E-02
731.5	3.00E-02
731.86	3.00E-02
732.22	3.00E-02
732.58	3.01E-02
732.94	3.01E-02
733.3	3.01E-02
733.66	3.02E-02
734.02	3.02E-02
734.38	3.02E-02
734.74	3.03E-02
735.1	3.03E-02
735.46	3.03E-02
735.82	3.04E-02
736.18	3.04E-02
736.54	3.04E-02
736.9	3.05E-02
737.26	3.05E-02
737.62	3.05E-02
737.98	3.06E-02
738.34	3.06E-02
738.7	3.06E-02
739.06	3.07E-02
739.42	3.07E-02
739.78	3.07E-02
740.14	3.08E-02
740.5	3.08E-02
740.86	3.08E-02
741.22	3.09E-02
741.58	3.09E-02
741.94	3.09E-02
742.3	3.10E-02
742.66	3.10E-02
743.02	3.10E-02
743.38	3.11E-02
743.74	3.11E-02
744.1	3.11E-02
744.46	3.12E-02
744.82	3.12E-02
745.18	3.13E-02
745.54	3.13E-02
745.9	3.13E-02
746.26	3.14E-02
746.62	3.14E-02
746.98	3.14E-02
747.34	3.15E-02
747.7	3.15E-02
748.06	3.15E-02
748.42	3.16E-02
748.78	3.16E-02
749.14	3.16E-02
749.5	3.17E-02
749.86	3.17E-02
750.23	3.18E-02
750.59	3.18E-02
750.95	3.18E-02
751.31	3.19E-02
751.67	3.19E-02
752.03	3.19E-02
752.39	3.20E-02
752.75	3.20E-02
753.11	3.20E-02
753.47	3.21E-02
753.83	3.21E-02
754.19	3.22E-02
754.55	3.22E-02
754.91	3.22E-02
755.27	3.23E-02
755.63	3.23E-02
755.99	3.23E-02
756.35	3.24E-02
756.71	3.24E-02
757.07	3.25E-02
757.43	3.25E-02
757.79	3.25E-02
758.15	3.26E-02
758.51	3.26E-02
758.87	3.26E-02
759.23	3.27E-02
759.59	3.27E-02
759.95	3.28E-02
760.31	3.28E-02
760.67	3.28E-02
761.03	3.29E-02
761.39	3.29E-02
761.75	3.29E-02
762.11	3.30E-02
762.47	3.30E-02
762.83	3.31E-02
763.19	3.31E-02
763.55	3.31E-02
763.91	3.32E-02
